ix,sentence,left1,right1,left2,right2,relation
7661,"In any case , fish oil did harm patients .",4,5,5,6,Entity-Origin21
3076,"A tent assembly includes a tent frame , a top support frame mounted on top of the tent frame , and an umbrella frame connected to the top support frame .",5,6,6,7,Component-Whole21
3965,"During play , I ingested a large sloth of Gummi bears in my efforts to help ward off a potential Jon Lee ""10-0"" train .",7,8,10,11,Member-Collection21
2462,"Jackson wasn't to be outdone and was rewarded with a leap of three leopards , which he watched with his guests for an amazing five hours .",10,11,13,14,Member-Collection21
3080,The mass on the whisk side of the broom is closer to the center of mass than the end of the broom stick .,21,22,22,23,Component-Whole21
1086,The farmer produced a surplus despite the country's worst drought in 30 years by using conservation farming techniques .,1,2,4,5,Other
7833,"The kitchen contained a large stove , a sink , a small table with chairs , and an old sofa that had seen many children and grandchildren tear at its skin .",1,2,5,6,Component-Whole21
5753,"The money was contained in a bag of chamois leather , of respectable dimensions , which my banker had given me .",1,2,6,7,Content-Container12
1873,Glaucoma is a group of neurodegenerative disorders characterized by the death of retinal ganglion cells and by a specific deformation of the optic nerve .,0,1,6,7,Other
2636,"Swype -- founded by the Cliff Kushler , the inventor of the T9 text input technology -- raised $1 .3 million earlier this year .",9,10,15,16,Other
5666,All the actors came from a theater background .,2,3,7,8,Entity-Origin12
6321,"The greatest impact of the tsunami was generally in an east-west direction , so the havoc caused by the tsunami along the southwestern shores of Sri Lanka was not as severe as along the eastern coast .",15,16,19,20,Cause-Effect21
28,"This article gives details on 2004 in music in the United Kingdom , including the official charts from that year .",1,2,7,8,Message-Topic12
2833,The first author has observed a ringed seal slapping the water with its flipper as he approached .,7,8,13,14,Component-Whole21
6506,"Such an uneasy state of affairs existed until the fifth century , when the empire's Rhine barrier was breached , allowing a vast , mixed horde of barbarians to stream into Italy , thereby laying the groundwork for the kingdoms that would eventually come to dominate the European continent .",25,26,27,28,Member-Collection21
3193,The haft of the axe is make of yew wood .,1,2,4,5,Component-Whole12
4691,This paper received positive review comments from the senior editors of the journal and was accepted for December 2005 presentation .,1,2,5,6,Message-Topic21
6685,All they have on their side is the most artful sergeant in the army and a vampire with a lust for coffee .,10,11,13,14,Member-Collection12
920,"The reaction starts at a rather low temperature ( + 5C) , and the calorimeter is run from 40 to 130C .",1,2,7,8,Cause-Effect21
7895,The building contained a large open central space with tables and chairs as well as a nursery and two tearooms .,1,2,5,8,Component-Whole21
2231,The stamp was inside a box for a double pack .,1,2,5,6,Content-Container12
1944,Google groups were sending commands to malware .,4,5,6,7,Entity-Destination12
2556,Senior figures in the sport expect the Brawn cars to be the subject of a technical protest over the design of their diffusers by rival teams .,22,23,25,26,Other
1884,STE Oil Company has all your white mineral oil needs covered .,7,8,8,9,Entity-Origin21
