group,entity,sentence,span1L,span1R
literal,Gaza,he also called for the first general strike in two years in the west bank and gaza on thursday .,16.0,17.0
literal,Burkina Faso,"chirac said burkina faso president blaise compaore would visit bangui "" in the coming hours "" with the heads of state of gabon , mali and chad to try and establish dialogue between authorities and rebels .",2.0,4.0
literal,Juan Santamaria,"the quake took place a few minutes before the end of a welcoming ceremony at juan santamaria airport for hashimoto , who was starting a three-hour visit as part of a latin american tour .",15.0,17.0
metonymic,Evelyne Leu,"swiss skiers occupied the other two places on the podium , karin kuster taking second with 160 .55 narrowly ahead of evelyne leu with 160 .36 .",21.0,23.0
metonymic,Clarke,"marlow's comment come on the heels of speculation that clarke had threatened to resign if the government changed its "" wait and see "" policy on a single currency and declared it would not sign up for the currency in the next parliament .",9.0,10.0
literal,Calif.,"the san jose , calif . , company was up 2-1/8 at 11-3/8 after its announcement wednesday that it planned to pull out of the highly competitive modem-chip business and focus instead on the fast-growing market for computer networking equipment .",4.0,5.0
metonymic,Son Sen,""" i would like to inform you about my decision to break away from pol pot , ta mok , son sen 's dictatorial group , "" he said in a copy of the statement obtained by reuters .",20.0,22.0
literal,China,"the netherlands prime minister , ruud lubbers , on feb . 14 halted a $1 ,500 million sale of four submarines to taiwan , which he said would have breached a 1984 accord with china [ see pp .",34.0,35.0
literal,Pyramiden,"the dead were all russians and ukrainians , coming to work in the mining towns of barentsburg and pyramiden .",18.0,19.0
metonymic,Iraq,"on thursday , iraq accused iran of aggression and said it reserved the right to retaliate for tehran's alleged deployment of troops into northern iraq , where fighting broke out between the two main iraqi kurdish rebel groups two weeks ago .",3.0,4.0
literal,Bratislava,"four skinheads attacked and insulted the rabbi of bratislava , baruch meyers , in the city centre on friday , but he escaped unharmed , a police spokesman told reuters .",8.0,9.0
literal,Luxembourg,there are two guide associations in luxembourg - the association des girl guides luxembourgeoises and the letzeburger guiden (catholic girl guides) .,6.0,7.0
literal,California,southern california edison co said it expected two 220 kilovolt (kv) power lines in southern california to resume service later today after being shut late wednesday because of a wildfire raging north of los angeles .,1.0,2.0
literal,Israel,"a u .s . fighter plane blew a tyre and caught fire while landing on sunday at israel 's ben gurion airport , an airport spokesman said .",17.0,18.0
metonymic,New Zealand,new zealand will also line up against sri lanka and pakistan this november in a one-day champions trophy competition in sharjah .,0.0,2.0
literal,Japan,"the computer business in japan is unusual in that most software writing is done by people who use computers , as opposed to the manufacturers of the machines .",4.0,5.0
literal,Pontiac Osteopathic Hospital,"dr robert aranosian , emergency room director at pontiac osteopathic hospital , said kevorkian brought in the body of patricia smith , of lees summit , mo .",8.0,11.0
literal,Panama,they also accuse the general of permitting banks in panama to launder billions of drug money made by the colombian drug cartels .,9.0,10.0
literal,Cambodia,two dead in cambodia helicopter crash .,3.0,4.0
literal,Alkhan-Yurt,"reuters correspondent lawrence sheets , speaking from the nearby village of alkhan-yurt , said he had heard little from grozny since wednesday evening's arrival of russian security chief alexander lebed , who said he "" came with peace "" .",11.0,12.0
literal,CIS,weather - conditions at cis airports - dec 6 .,4.0,5.0
literal,London,"police spokeswoman kim white said police had already contacted sadiki and were trying to arrange to bring him to stansted , 30 miles (48 km) north-east of london , to talk to the hijackers .",27.0,28.0
metonymic,Egypt,egypt blames istanbul control tower for accident .,0.0,1.0
literal,U.S.,"in the southeast u .s . , dealers said feed mixers continued to be steady buyers with demand increasing for october to march positions .",3.0,5.0
metonymic,Europe,he won acclaim for the insights that he gave into the events which shaped modern europe and was one of europe's leading authorities on the great conflicts of the 20th century .,15.0,16.0
literal,Europe,"british farmers denied on thursday there was any danger to human health from their sheep , but expressed concern that german government advice to consumers to avoid british lamb might influence consumers across europe .",33.0,34.0
literal,Colombia,"the boat had been missing since monday afternoon when it left the tiny island of gorgona off colombia 's southwest coast with sightseers for a return trip to narino province , near the border with ecuador .",17.0,18.0
metonymic,Tan,"a large part of singapore's workforce would be mobilised to ensure the meeting would run without a glitch but the average singaporean "" would probably not be too concerned about some of the issues , "" tan said .",36.0,37.0
literal,Mantua,scalfaro was in mantua to attend a ceremony commemorating the executions there by austrian rulers in 1852 and 1853 of a group of italians who had campaigned for national unity .,3.0,4.0
literal,Tibet,"king birenda told gyaicain norbu , chairman of the tibet government , that nepal would not "" become a tool for others to split tibet "" , the newspaper said .",9.0,10.0
literal,Jordan,a tourist from jordan was also told by israeli soldiers at the al-ram checkpoint that he could not enter jerusalem .,3.0,4.0
literal,Holland,italy's ac milan maintained their impressive form with a 2-1 european cup victory over psv eindhoven in holland .,17.0,18.0
literal,VANCOUVER,"vancouver , british columbia 1996-08-28",0.0,1.0
literal,Hangzhou,wang was arrested in the east china city of hangzhou by security officers who told the dissident's family he would be sent to a study class -- a euphemism for coercive ideological reform .,9.0,10.0
metonymic,Israel,- parliament speaker berri : israel is preparing for war against syria and lebanon .,5.0,6.0
metonymic,Germany,naphtha inventories also dropped as germany again took barges and no cargoes entered ara .,5.0,6.0
literal,Bagram,rohrabacher flew into bagram military airbase north of kabul in a red cross plane on tuesday after meeting northern opposition militia leader general abdul rashid dostum .,3.0,4.0
metonymic,Israel,"palestinian president arafat , attacking israel 's decision to expand jewish settlements and its policy on jerusalem , went before the palestinian legislature on wednesday to urge the two million arabs in the west bank and gaza to go to the holy city .",5.0,6.0
metonymic,Burundi,"in a lengthy debate on burundi before the u .n . security council , ambassador nsanze terence said the new military government took over to stabilise the country and wanted negotiations under former tanzanian president julius nyrere .",5.0,6.0
literal,Bogra,hasina told a cross section of people at the bogra police headquarters on sunday that the government had already suspended three police officers and ordered a judicial probe into the violent incidents .,9.0,10.0
literal,Antioquia,"unidentified gunmen dragged 10 men out ot their homes in a rural area of colombia's northwest province of antioquia and shot them to death , authorities said on sunday .",18.0,19.0
literal,Russia,"cotti said chechnya must remain part of russia , but the solution to the conflict would be to accord the region maximum autonomy within russia's borders .",7.0,8.0
literal,Kansas City,"in kansas city , travis fryman doubled in the go-ahead run in the fifth and melvin nieves and damion easley belted two-run homers as the detroit tigers claimed a 10-3 win over the royals , handing them their fifth straight loss .",1.0,3.0
literal,Yunnan,"a group of farmers in huize county in the southwestern province of yunnan were arrested for blending alcohol with methanol and selling the toxic liquor to local residents , the agency said .",12.0,13.0
literal,Goma,"u .n . officials said more than 1 ,000 aid workers will take part in the census from sunday until tuesday of the estimated 727 ,000 refugees in camps around the eastern zairean border town of goma .",36.0,37.0
literal,Sharjah,new zealand will also line up against sri lanka and pakistan this november in a one-day champions trophy competition in sharjah .,20.0,21.0
literal,Pakistan,this was a mammoth task since the last deal in pakistan - by another company - was based on a formula which resulted in a price that was half of what was required to make the project economically attractive .,10.0,11.0
literal,United States,the record industry of america's figures show that cd-a disc sales in the united states have remorselessly overhauled and eroded sales of vinyl recordings and are rapidly catching the booming cassette market .,13.0,15.0
metonymic,Egypt,"but weizman , a former defence minister and an architect of israel's peace treaty with egypt , has spoken out frequently on the peace process with the palestinians -- at times urging the former labour government to slow it down .",15.0,16.0
metonymic,Sri Lanka,"an indian fisheries department official said the government planned to urge fishermen not to cross the international boundary between india and sri lanka , but admitted this would be hard to enforce because of sri lanka's pomfret-rich waters .",21.0,23.0
metonymic,Wall Street,"london shares , boosted by wall street , added to early gains with the blue chip ftse 100 index hitting a new peak of 3921 .8 before dropping back slightly .",5.0,7.0
metonymic,PORTUGAL,soccer - weah head-butt deprives portugal of costa .,5.0,6.0
metonymic,Macedonia,romania trainer anghel iordanescu called up three uncapped players on friday in his squad to face macedonia next week in a world cup qualifier .,16.0,17.0
metonymic,Tripoli,tripoli decks out for coup celebrations .,0.0,1.0
metonymic,Moscow,"lebed , who met russian prime minister viktor chernomyrdin on monday to discuss the progress he made on a political settlement for the breakaway region , has been seeking a meeting with president boris yeltsin , who started a holiday near moscow on monday .",41.0,42.0
literal,Atlanta,"the french team won 95 medals in atlanta , 35 of them gold .",7.0,8.0
metonymic,United States,"the united states edged austria in salzburg 3-2 in the opening round in april , and then blanked japan 5-0 in nagoya last month in the semifinals .",1.0,3.0
literal,Hengelo,the previous mark of 26 :43 .53 was set by ethiopia's haile gebreselassie in the dutch town of hengelo in june last year .,18.0,19.0
metonymic,Yugoslavia,spain coach javier clemente has added uncapped deportivo coruna midfielder armando alvarez to his squad for the world cup qualifier against yugoslavia on december 14 .,21.0,22.0
metonymic,John Major,"relations between chancellor of the exchequer kenneth clarke and prime minister john major are good despite media reports of a rift over european policy , a spokesman for major's office said on friday .",11.0,13.0
metonymic,Diouf,""" if africa does not wish to lose its turn we have to act fast , "" diouf said . """,17.0,18.0
literal,France,"a polish consortium including the bank rozwoju exportu sa (bre) plans to rival france 's hachette in bidding for polish state-owned press distribution chain ruch sa , zycie warszawy daily said on saturday .",13.0,14.0
metonymic,Japan,- japan is importing 80 percent of cotton yarn from pakistan every year .,1.0,2.0
literal,Belgrade,""" during the works , all flights will be re-routed to the nearby airport in batajnica , with no change in schedules , "" tanjug quotes belgrade airport general director ljubomir acimovic as saying .",26.0,27.0
metonymic,Sri Lanka,"world cup cricket champions sri lanka will play two tests and three one-day internationals in a tour of new zealand next march , officials said on wednesday .",4.0,6.0
metonymic,Spain,"life on the road this year did not slow the americans , who will try to avenge their 3-2 defeat in the final last year when they host spain on september 28-29 in atlantic city .",28.0,29.0
literal,China,it has investments in several industrial joint ventures in china .,9.0,10.0
literal,White House,"ronald reagan's tax cut won him a second four-year term in the white house in 1984 , while democrat walter mondale , who promised higher taxes , lost .",12.0,14.0
metonymic,Slovenia,"france established diplomatic relations with slovenia on april 23 , and with croatia on april 24 , confirming that it would support slovenia 's request for un membership and for co-operation with the ec .",22.0,23.0
literal,Moscow,"german chancellor helmut kohl , who spoke to president boris yeltsin by telephone on wednesday , plans a trip to moscow on september 7 and will visit yeltsin at his vacation home near moscow , interfax news agency said .",20.0,21.0
literal,Kazanluk,some residents of the kazanluk area are moslems who converted to islam during ottoman turkish rule .,4.0,5.0
literal,Newark,"berlex filed a lawsuit against biogen in u .s . district court in newark , n .j . in july , but biogen had already filed a suit against berlex in massachusetts in may .",13.0,14.0
literal,Jamaica,"the inoculating business had now reached its zenith with forty-seven ` authorized "" partnerships (including sutton , his father , and six brothers) in england , ireland , wales , holland , france , jamaica , and virginia in 1768 .",34.0,35.0
literal,Detroit,"in detroit , orel hershiser recorded his fourth straight win and albert belle snapped a sixth-inning tie with a grand slam as the cleveland indians completed a season sweep of the detroit tigers with a 9-3 victory .",1.0,2.0
literal,NEW YORK,"new york , aug 27 - moody's investors service - rating",0.0,2.0
literal,Florida Straits,havana's complaints centred on an incident in which a boatload of emigrants capsized in the florida straits last week and two recent aircraft hijackings from cuba .,15.0,17.0
literal,London,"seven iraqis who seized a sudanese airliner with 199 people aboard and forced it to fly to london were on friday charged with hijack , ending speculation that they might be offered immediate asylum in britain .",17.0,18.0
literal,Virginia,"lewis martin , with haunted eyes , posed bare-chested to reveal his missing arm and leg , blown off during a battle at petersburg , virginia , in july 1864 .",25.0,26.0
metonymic,Jordan,he said turkey considered jordan a suitable country with which to cooperate on middle east matters .,4.0,5.0
literal,Venice,controversial ira film screened at venice festival .,5.0,6.0
literal,United Kingdom,in the united kingdom an mp wanting to retain his seat is usually re-adopted as a candidate .,2.0,4.0
literal,Guilin,foreign planes to land in china's popular guilin .,7.0,8.0
metonymic,West Indies,the west indies vice-captain struggled for timing during his 36-minute stay at the crease before chipping a ball from medium pacer tom moody straight to shane warne at mid-wicket .,1.0,3.0
metonymic,Nelson Mandela,"a forensic scientist who examined the supposed skull of 19th century king hintsa , a chief of president nelson mandela 's xhosa tribe killed in battle by the british , said it was in fact the cranium of a european woman .",18.0,20.0
literal,Liberia,"nigerian major general sam victor malu took over on thursday as commander of the ecomog peacekeeping force in liberia , two days after the start of the latest ceasefire in the six-year civil war .",18.0,19.0
literal,London,"algeria , fighting a vicious war against moslem fundamentalist guerrillas , attacked britain on wednesday for allowing islamist groups to meet in london .",22.0,23.0
literal,Tripoli,""" we have chosen the challenge because it is our only option , "" proclaimed one banner on the road to tripoli airport which serves only internal flights because of the sanctions .",21.0,22.0
literal,Pakistan,"all pakistan 's military resources , bolstered by 150 ,000 troops freed in february from the eastern border with afghanistan , are directed at india .",1.0,2.0
literal,Borodino,1812 - russian army under general kutuzov was defeated at heavy cost by napoleon at the battle of borodino 70 miles west of moscow .,18.0,19.0
literal,Australia,"gooch , who retired from test cricket after the 1994-95 tour of australia but is now an england selector , is seventh in this season's first-class averages with 1 ,429 runs at 64 .95 , having hit five centuries and one double century .",12.0,13.0
literal,Zurich,"after breaking the world record for the women's mile in zurich last wednesday , the olympic 800 and 1 ,500 metres champion clocked two minutes 28 .98 seconds over 1 ,000 at the brussels grand prix meeting .",10.0,11.0
metonymic,England,"stefano bordon is out through illness and coste said he had dropped back row corrado covi , who had been recalled for the england game after five years out of the national team .",23.0,24.0
literal,Czech Republic,he held one match point at 9-8 in a marathon third-set tie break but was beaten 5-7 7-6 (7-1) 7-6 (13-11) by unseeded daniel vacek of the czech republic .,27.0,29.0
metonymic,Chicago,"the august chicago napm rose 8 .8 points to 60 .0 , its highest level since 62 .6 in february 1995 and the largest monthly rise since december 1993 .",2.0,3.0
metonymic,Sri Lanka,cricket - india 226-5 in 50 overs v sri lanka .,8.0,10.0
metonymic,Libya,"the state department refused to speculate on friday on what might happen in the case of louis farrakhan , the u .s . black leader who was awarded a $ 250 ,000 human rights prize by libya .",36.0,37.0
literal,Jakarta,"craig stromme , u .s . embassy spokesman in jakarta , 700 km (430 miles) west of surabaya , confirmed the tuesday morning attack .",9.0,10.0
metonymic,Algeria,"algeria , fighting a vicious war against moslem fundamentalist guerrillas , attacked britain on wednesday for allowing islamist groups to meet in london .",0.0,1.0
metonymic,Ukraine,feature - fertile ukraine faces drought of cash and rain .,3.0,4.0
metonymic,N. Korea,n . korea urges s . korea to return war veteran .,0.0,3.0
literal,Germany,the italians joined the french by attacking the deflationary effect of germany 's dominant position on their economy .,11.0,12.0
literal,Austria,czech coach in fatal crash in austria .,6.0,7.0
literal,Costa Rica,"the plantation is owned by dutch citizen ebe huizinga , who has since arrived in costa rica to deal with the matter .",15.0,17.0
literal,Poland,"many of these citizens were jews murdered during the war , when nazi german invaders killed most of poland 's 3 .5 million jews .",18.0,19.0
literal,New Delhi,"the local polls next month will be the first since 1987 in the state , clamped under direct rule from new delhi since 1990 .",20.0,22.0
literal,Jacobs Field,"the american league western leaders have won eight of 15 games at jacobs field , joining the yankees as the only teams with a winning record at the a .l . central leaders' home .",12.0,14.0
literal,Illinois,"however , usda reported tops of $ 58 .00 in illinois and in iowa / southern minnesota , $ 60 .00 on some hogs monday .",10.0,11.0
literal,Milan,"the shares rose 0 .2 percent to 2 ,555 lire by 1350 gmt in an easier milan stock market .",16.0,17.0
literal,Japan,"japan 's economic planning agency has not changed its view that the economy is gradually recovering , despite relatively weak gross domestic product figures released on tuesday , epa vice minister shimpei nukaya told reporters on friday .",0.0,1.0
literal,Britain,""" people who wish to hold conferences of course do n't need to seek permission from the government in britain , "" he said .",19.0,20.0
literal,France,"she took the name of teresa , after france 's saint therese of the child jesus .",8.0,9.0
metonymic,Syria,"israel on wednesday sent syria a message , via washington , saying it was committed to peace and wanted to open negotiations without preconditions .",4.0,5.0
literal,Germany,germany 's representative to the european union's veterinary committee werner zwingmann said on wednesday consumers should buy sheepmeat from countries other than britain until the scientific advice was clearer .,0.0,1.0
metonymic,India,india carried out a nuclear test in 1974 but says it has not built the bomb .,0.0,1.0
literal,Pretoria,centre japie mulder has been ruled out of south africa's team for the second test against new zealand in pretoria on saturday .,19.0,20.0
literal,Cameroon,"the trans-cameroon road , if built , ` would jeopardise a vast expanse of cameroon 's rainforest and [ those ] who live there , "" says the world bank .",14.0,15.0
literal,Europe,"he said the 65-80-litre level could be reached in the next ten years and make poland , with its 40-million population , europe 's third largest beer market after germany and britain .",22.0,23.0
metonymic,Syria,tension has mounted since israeli prime minister benjamin netanyahu took office in june vowing to retain the golan heights israel captured from syria in the 1967 middle east war .,22.0,23.0
metonymic,Wales,wales beat san marino 6-0 ( halftime 4-0 ) in a world cup soccer european group 7 qualifier on saturday .,0.0,1.0
metonymic,Honda Motor Co Ltd,"honda motor co ltd said on friday that it had received 15 ,000 domestic orders for its s-mx recreational vehicle in the first two weeks after its launch .",0.0,4.0
